,year,breed,dog,owner(s),group,BIS
39,1984,Chow Chow,Ch. Wah-Hu Redcloud Sugar Daddy,Mary A. Vaudo & Zola Coogan,Non-Sporting,False
40,1983,Bulldog,Ch. Lodel’s Hi Jacker of Kralan,Nan S. Burke,Non-Sporting,False
41,1982,Poodle (Miniature),Ch. Alcala Salutation of Karelea,Evelina Toledo,Non-Sporting,False
42,1981,Poodle (Miniature),Ch. JLC Critique,Robert A. Koeppel,Non-Sporting,False
43,1980,Poodle (Standard),Ch. Rimskittle Ruffian,M. D. Durney & E. B. Jenner,Non-Sporting,False
44,1979,Poodle (Miniature),Ch. JLC Critique,Rita Cloutier,Non-Sporting,False
45,1978,Bulldog,Ch. Marinebull’s All The Way,Karl & Joyce Dingman,Non-Sporting,False
46,1977,Lhasa Apso,Ch. Yojimbo Orion,Elaine Spaeth,Non-Sporting,False
47,1976,Poodle (Miniature),Ch. Montmartre Supe Lad,Mrs. R. F. Tranchin,Non-Sporting,False
48,1975,Chow Chow,Ch. Mi Tus Han Su Shang,J. C. Frederick Peddie & Herbert E. Williams,Non-Sporting,False
49,1974,Bulldog,Ch. Dey-Del,Robert B. Kullman,Non-Sporting,False
50,1973,Poodle (Standard),Ch. Acadia Command Performance,Edward B Jenner & Jo Anne Sering,Non-Sporting,True
51,1972,Poodle (Miniature),Ch. Tally Ho Tiffany,Mr. & Mrs. Frank Dale and Edward B. Jenner,Non-Sporting,False
52,1971,Poodle (Miniature),Ch. Tally Ho Tiffany,Frank and Susan Dale,Non-Sporting,False
53,1970,Boston Terrier,Ch. Star Q’s Brass Buttons,Dr. K. Eileen Hite,Non-Sporting,False
54,1969,Chow Chow,Ch. Gotschall’s Van Van,Donald Drennan and Mrs Valetta Gotschall,Non-Sporting,False
55,1968,Keeshond,Ch. Flakkee Sweepstakes,Flakkee Kennels,Non-Sporting,False
56,1967,Poodle (Standard),Ch. Alekai Marlaine,Alekai Kennels,Non-Sporting,False
57,1966,Poodle (Miniature),Ch. Round Table Cognac,Round Table Kennels,Non-Sporting,False
58,1965,Poodle (Miniature),Ch. Pixiecroft Sunbeam,Mrs. Gardner Cassatt,Non-Sporting,False
59,1964,Poodle (Miniature),Ch. Tedwin’s Top Billing,Estate of Col. E. E. Ferguson,Non-Sporting,False
60,1963,Dalmatian,Ch. Coachman’s Callisto,Pennydale Kennels,Non-Sporting,False
61,1962,Poodle (Miniature),Ch. Crikora Commotion,Mrs. J. Donald Duncan,Non-Sporting,False
62,1961,Poodle (Miniature),Ch. Estid Ballet Dancer,Col. E. E. Ferguson & Estid Kennels,Non-Sporting,False
63,1960,Bulldog,Ch. Vardona Frosty Snowman,Vardona Kennels,Non-Sporting,False
64,1959,Poodle (Miniature),Ch. Fontclair Festoon,Dunwalke Kennels,Non-Sporting,True
65,1958,Poodle (Standard),Ch. Puttencove Promise,Puttencove Kennels,Non-Sporting,True
66,1957,Dalmatian,Ch. Roadcoach Roadster,"Mrs. S. K. Allman, Jr.",Non-Sporting,False
67,1956,Poodle (Standard),Ch. Alfonco yon der Goldenen Kette,Pennyworth Kennels & Clairedale Kennels,Non-Sporting,False
68,1955,Bulldog,Ch. Kippax Fearnaught,Dr. J. A. Saylor,Non-Sporting,True
69,1954,Bulldog,Kippax Fearnaught,Dr. J. A. Saylor,Non-Sporting,False
70,1953,Poodle (Standard),Ch. Blakeen Bali Hai,Puttencove Kennels,Non-Sporting,False
71,1952,Poodle (Standard),Ch. Ensarr Glace,Mrs. W. French Githens,Non-Sporting,False
72,1951,Poodle (Miniature),Ch. Blakeen Cristoff,Blakeen Kennels,Non-Sporting,False
73,1950,Poodle (Standard),Ch. Puttencove Halla’s Hugo,Puttencove Kennels,Non-Sporting,False
74,1949,Dalmatian,Ch. Swabline of Oz-Dal,Mrs. Blanche S. Osborne,Non-Sporting,False
75,1948,Boston Terrier,Ch. Mighty Sweet Regardless,Claude J. Fitzgerald,Non-Sporting,False
76,1947,Boston Terrier,Ch. Mighty Sweet Regardless,Claude J. Fitzgerald,Non-Sporting,False
77,1946,Boston Terrier,Ch. Emperor’s Ace,Fred H. Lucas,Non-Sporting,False
78,1945,Poodle (Standard),Ch. Blakeen Luzon,Blakeen Kennels,Non-Sporting,False
79,1944,Poodle (Miniature),Ch. Black Magic,George H. Frelinghuysen,Non-Sporting,False
80,1943,Poodle (Miniature),Ch. Pitter Patter of Piperscroft,Mrs. P. H. B. Frelinghuysen,Non-Sporting,True
81,1942,Poodle (Miniature),Ch. Ramoveur of Catawba,Mrs. P. H. B. Frelinghuysen,Non-Sporting,False
82,1941,Poodle (Standard),Ch. Blakeen Eiger,Blakeen Kennels,Non-Sporting,False
83,1940,Chow Chow,Ch. Lie Wol Lah Son,Mrs. A. V. Hallowell,Non-Sporting,False
84,1939,Poodle (Standard),Ch. Blakeen Jung Frau,Blakeen Kennels,Non-Sporting,False
85,1938,Poodle (Standard),Ch. Pillicoc Rumpelstilskin,Pillicoc Kennels,Non-Sporting,False
86,1937,Chow Chow,Ch. Far Land Thundergust,Mrs. Wm. MacFarland,Non-Sporting,False
87,1936,Poodle (Standard),Ch. Nunsoe Duc De La Terrace of Blakeen,Blakeen Kennels,Non-Sporting,False
88,1935,Poodle (Standard),Ch. Nunsoe Duc De La Terrace of Blakeen,Blakeen Kennels,Non-Sporting,True
89,1934,Poodle (Standard),Nunsoe Duc De La Terrace of Blakeen,Blakeen Kennels,Non-Sporting,False
90,1933,Poodle,Ch. Whippendell Poli of Carillon,Carillon Kennels,Non-Sporting,False
91,1932,Boston Terrier,Ch. Million Dollar Kid Boots,Mrs. Jesse Thornton,Non-Sporting,False
92,1931,Boston Terrier,Imogene V,William Cornbill,Non-Sporting,False
93,1930,Bulldog,Ch. Maple Spring Boddie Boy,Carey W. Lindsay,Non-Sporting,False
94,1929,Boston Terrier,Ch. Reigh Count,Mrs. L. B. Daley,Non-Sporting,False
95,1928,Bulldog,Ch. Sessue,William E. Chetwin,Non-Sporting,False
96,1927,Bulldog,Morningside Prince,Hart Mitchell,Non-Sporting,False
97,1926,Chow Chow,Ch. Victorious of Tien,Mrs. H. Earl Hoover,Non-Sporting,False
98,1925,Boston Terrier,Million Dollar King,Ema G. Fox,Non-Sporting,False
99,1924,Chow Chow,Ch. Greenacre Li Ping Tow,Greenacre Kennel,Non-Sporting,False
0,2023,Petit Basset Griffon Vendeen,CH Soletrader Buddy Holly,Janice Hayes & Lizzie Cadmore & Cathy Oneill & Donna Moore,Hound,True
1,2022,Bloodhound,GChB Flessner's Toot My Own horn,Chris & Bryan Flessner & Heather Helmer & Tina Kocar,Hound,True
2,2021,Whippet,GCh. CH Pinnacle Kentucky Bourbon,Justin Smithey & Dr Ken Latimer & Judy Descutner & Nancy Shaw & Cheslie Smithey,Hound,False
3,2020,Whippet,GCh. CH Pinnacle Kentucky Bourbon,Justin Smithey & Dr Ken Latimer & Judy Descutner & Nancy Shaw & Cheslie Smithey,Hound,False
4,2019,Dachshund (Longhaired),GCh. DC Walmar-Solo's OMG SL JE,Theresa Nesbitt & Kim Vidrine & Jeane Haverick & Audrey White & Patricia Grant,Hound,False
5,2018,Borzoi,GCh. Belisarius Jp My Sassy Girl,Michele Molnar & Jamie Danburg & Minoru Kato,Hound,False
6,2017,Norwegian Elkhound,GCh. Vin-Melca’s Daggarwood Delight,Patrica V. Trotter,Hound,False
7,2016,Borzoi,Ch. Belisarius Jp My Sassy Girl,Mai Ozeki,Hound,False
8,2015,"Beagle, 15 In.",Ch. Tashtins Lookin For Trouble,Eddie Dziuk & Lori Crandlemire & Kaitlyn Crandlemire,Hound,True
9,2014,Bloodhound,GCH Flessner’s International S’Cess,Shirley VanCamp & Heather Buehner & Zack Helmer,Hound,False
10,2013,American Foxhound,Ch. Kiarry’s Pandora’s Box,Ellen M. Charles & Lisa Miller,Hound,False
11,2012,Dachshund (Wirehaired),GCH. Raydachs Playing With Fire V Gleishorbach SW,Shirley Ray & Maria Sakoda & James Sakoda,Hound,False
12,2011,Scottish Deerhound,GCH. Foxcliffe Hickory Wind,Sally Sweatt & Cecilia L Dove & Dr. R. Scott Dove,Hound,True
13,2010,Whippet,Ch. Starline’s Chanel,Lori Lawrence & Carey Lawrence,Hound,False
14,2009,Scottish Deerhound,Ch. Gayleward’s Tiger Woods,Gayle Bontecou,Hound,False
15,2008,"Beagle, 15 In",Ch. K-Run’s Park Me In First,Caroline Dowell & Eddie Dziuk & Jon Woodring & Kathy Weichert,Hound,True
16,2007,Petit Basset Griffon Vendeen,Ch. Celestial Cj’s Jolly Fairchild,Jeanne Hurty & Charles Hurty & Pamela Helmer & Joseph H,Hound,False
17,2006,Scottish Deerhound,Ch. Thistleglen Margot,Jeanne T. Frye & Pennyworth Kennel,Hound,False
18,2005,Bloodhound,Ch. Heathers Knock On Wood,Lyn Sherman,Hound,False
19,2004,Ibizan Hound,Ch Luxor’s Playmate Of The Year,"W. Anderson, G. Brand, L. Lucas & C. Woods",Hound,False
20,2003,Ibizan Hound,Ch. Luxor’s Playmate Of The Year,"W. Anderson, G. Brand, L. Lucas & H. Goldberg",Hound,False
21,2002,Rhodesian Ridgeback,Ch. Wetu of Kalahari,"S. Fikes, D. Stewart, M. Well & C. Well",Hound,False
22,2001,Bloodhound,Ch. Ridge Runner Unforgettable,Susan LaCroix Hamil & Lori Burch,Hound,False
23,2000,Basset Hound,Ch. Moonbeam’s Astronomer,Maria Elisa Martinez,Hound,False
24,1999,Saluki,Ch. Sundown Alabaster Treasure JC,Dr. James D. Black,Hound,False
25,1998,Dachshund (Longhaired),Ch. Pramada’s Curmudgeon L,Drs. Mark & Patrice Parker,Hound,False
26,1997,Dachshund (Wirehaired),Ch. Starbarrack Malachite SW,Mrs. Alan R. Robson,Hound,False
27,1996,Afghan Hound,Ch. Tryst of Grandeur,R. & G. & S. & T. Rechler,Hound,False
28,1995,Norwegian Elkhound,Ch. Vin-Melca’s Marketta,J. & N. Eisley-Bennett & P. Craige,Hound,False
29,1994,Norwegian Elkhound,Ch. Vin-Melca’s Marketta,J. & N. Bennett & P. Craige,Hound,False
30,1993,Borzoi,Ch. Fox Run’s Ivy Rose,Ronald Mater & Joanne Hack,Hound,False
31,1992,Basset Hound,Ch. Lil’ Creek Briarcrest Top Gun,Dan & Julie Jones,Hound,False
32,1991,Scottish Deerhound,Ch. Fernhill’s Phantom CD,Miranda Levin & Barbara Heidenreich,Hound,False
33,1990,Norwegian Elkhound,Ch. Vin-Melca’s Calista,Carol Anderson,Hound,False
34,1989,Norwegian Elkhound,Ch. Vin-Melca’s Calista,Carol Anderson,Hound,False
35,1988,Bloodhound,Ch. Viking’s Thor,Charles Sexton,Hound,False
36,1987,Bloodhound,Ch. Viking’s Thor,Charles Sexton,Hound,False
37,1986,Norwegian Elkhound,Ch. Vin-Melca’s Call To Arms,Ashlyn Cannon,Hound,False
38,1985,Irish Wolfhound,Ch. Aodh Harp of Eagle,"Samuel Evans Ewing, III",Hound,False
39,1984,English Foxhound,Ch. Mr Stewar’s Cheshire Winslow,Emily Latimer & Suzy A. Reingold,Hound,False
40,1983,Afghan Hound,Ch. Kabiks The Challenger,Chris & Marquerite Terrell,Hound,True
41,1982,Saluki,Ch. Bel S’mbran Aba Fantasia,George & Sally Bell,Hound,False
42,1981,Whippet,Ch. Sporting Fields Clansman,Mr. & Mrs. James E. & Eleanor Butt,Hound,False
43,1980,Greyhound,Ch. Aroi Talk of the Blues,Mr & Mrs N J Reese,Hound,False
44,1979,Norweigan Elkhound,Ch. Vin-Melca’s Nimbus,Patricia V. Craige & Harold Shuler,Hound,False
45,1978,Greyhound,Ch. Aroi Talk of the Blues,Mr. & Mrs. N. J. Reese,Hound,False
46,1977,Norwegian Elkhound,Ch. Vin-Melca’s Nimbus,Patricia V. Craige & Harold Shuler,Hound,False
47,1976,Saluki,Ch. Canem-Dei’s El Salta Aun,Mimi Carlyle,Hound,False
48,1975,Irish Wolfhound,Ch. Breac O’Shawn McDown of Eagle,Mr. & Mrs. William Snuffin,Hound,False
49,1974,Norwegian Elkhound,Ch.Vin Melca’s Homesteader,Patricia V. Craige & D. Schiller,Hound,False
50,1973,Afghan Hound,Ch. Khayam’s Apollo,Dr. & Mrs. Doyle Rogers,Hound,False
51,1972,Basenji,Ch. Reville Re Up,Estate of Elaine S. Hoffman,Hound,False
52,1971,Norwegian Elkhound,Ch. Vin Melca’s Vagabond,Patricia V. Craige,Hound,False
53,1970,Norwegian Elkhound,Ch. Vin Melca’s Vagabond,Patricia V. Craige,Hound,False
54,1969,Dachshund (Smooth),Ch. Crosswynd’s Crackerjack,Mr. & Mrs. Charles C. Stalter,Hound,False
55,1968,Dachshund (Smooth),Ch. Crosswynd’s Crackerjack,Mr. & Mrs. Charles C. Stalter,Hound,False
56,1967,Afghan Hound,Ch. Akaba’s Blue Devil,Lois R. Boardman,Hound,False
57,1966,Afghan Hound,Ch. Sahadi Shikari,Soroya Kennels,Hound,False
58,1965,Whippet,Ch. Courtenay Fleetfoot of Pennyworth,Pennyworth Kennels,Hound,False
59,1964,Whippet,Ch. Courtenay Fleetfoot of Pennyworth,Pennyworth Kennels,Hound,True
60,1963,Greyhound,Ch. Rudel’s Firefly,Elsie S. Neustadt,Hound,False
61,1962,Afghan Hound,Ch. Akaba’s Top Brass,Lois R. Boardman,Hound,False
62,1961,Dachshund (Smooth),Ch. White Gables Ristocrat,Mrs. Albert E. Van Court,Hound,False
63,1960,Basset Hound,Ch. The Ring’s Banshee,Chris G. Teeter,Hound,False
64,1959,Norwegian Elkhound,Ch. Tortasen’s Bjonn II,Pitch Road Kennels,Hound,False
65,1958,Whippet,Ch. Laguna Lucky Lad,Mardormere Kennels,Hound,False
66,1957,Afghan Hound,Ch. Shirkham of Grandeur,Sunny Shay & Dorothy Chenade,Hound,True
67,1956,Bloodhound,Ch. Fancy Bombardier,Tom & Pearl Sheahan,Hound,False
68,1955,Afghan Hound,Ch. Taejon of Crown Crest,Kay Finch,Hound,False
69,1954,Afghan Hound,Ch. Taejon of Crown Crest,Kay Finch,Hound,False
70,1953,Bloodhound,Ch. Fancy Bombardier,Tom & Pearl Sheahan,Hound,False
71,1952,Dachshund (Wirehaired),Ch. Thomarel’s Lola,Stanley F. Todd,Hound,False
72,1951,Dachshund (Smooth),Ch. Aristo Yon Marienlust,Mrs. Lancaster Andrews,Hound,False
73,1950,Afghan Hound,Ch. Turkuman Nissim’s Laurel,Sunny Shay & Sol Malkin,Hound,False
74,1949,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
75,1948,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
76,1947,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
77,1946,Afghan Hound,Ch. Ali Khyber,Leah P. McConaha,Hound,False
78,1945,Saluki,Ch. Marjan II,El Retiro Kennels,Hound,False
79,1944,American Foxhound,Newbold Ely’s Gloria,W. Newbold Ely,Hound,False
80,1943,Borzoi,Vigow of Romanoff,Louis J. Murr,Hound,False
81,1942,Borzoi,Tydd of Romanoff,Louis J. Murr,Hound,False
82,1941,Afghan Hound,Ch. Rana of Chaman of Royal Irish,Marion Florsheim,Hound,False
83,1940,Saluki,Ch Marjan II,Anna Marie Paterno,Hound,False
84,1939,Beagle,Ch. Meadowlark Draftsman,Foxcatcher Beagles,Hound,False
85,1938,Dachshund (Smooth),Ch. Fox vom Teckelhof,Llieno Kennels,Hound,False
86,1937,Greyhound,Ch. White Rose of Boveway,Windholme Kennels,Hound,False
87,1936,Greyhound,White Rose of Boveway,Windholme Kennels,Hound,False
88,1935,Greyhound,Southball Moonstone,Halcyon Kennels,Hound,False
89,1934,Greyhound,Lily of Devon,Windholme Kennels,Hound,False
90,1933,Greyhound,Boveway Beau Brummel,Windholme Kennels,Hound,False
91,1932,Greyhound,Ch. Gamecock Duke of Wales,George S. West,Hound,False
92,1931,Greyhound,Gamecock Duke of Wales,George S. West,Hound,False
93,1930,Beagle (15″),Ch. Meadow Lark Watchman,Louis Batjer,Hound,False
94,1929,None,None,None,Hound,False
95,1928,None,None,None,Hound,False
96,1927,None,None,None,Hound,False
97,1926,None,None,None,Hound,False
98,1925,None,None,None,Hound,False
99,1924,None,None,None,Hound,False
0,2023,Australian Shepherd,GCHP CH Northbay Xsell That's A Wrap,Bette A Evans,Herding,False
1,2022,German Shepherd Dog,GCHG CH Gem-N-I River of Urloved CGC,Richard A Waits,Herding,False
2,2021,Old English Sheepdog,GCH CH Bugaboo's Courage of Conviction,Colton Johnson & Heather Johnson & Douglas Johnson & Michaelanne Johnson,Herding,False
3,2020,Shetland Sheepdog,GCHP CH. Syringa- Akadia The Corsair,Tyler Crady & Deborah Sirdofsky & Guy Okada & Debi Tario,Herding,False
4,2019,Bouvier Des Flandres,GCh. Quiche's Major League,Julianna Garrison & Elaine & Louise Paquette,Herding,False
5,2018,Border Collie,GCh.  Majestic Elite Clever Endeavor,Ricki Johnson & J Frank Baylis & Ronni Delay,Herding,False
6,2017,German Shepherd Dog,GCh. Lockenhaus’ Rumor Has It V Kenlyn,Deborah Stern & Pamela Buckles & Patti Dukeman & Pamela McElheney & Kent Boyles,Herding,True
7,2016,German Shepherd Dog,GCh. Lockenhaus’ Rumor Has It V Kenlyn,Deborah Stern & Pamela Buckles & Patti Dukeman & Pamela McElheney & Kent Boyles,Herding,False
8,2015,Old English Sheepdog,Ch. Bugaboo’s Picture Perfect,Ron Scott & Debbie Burke & Colton & Heather Johnson,Herding,False
9,2014,Cardigan Welsh Corgi,GCh. Riverside Telltail Coco Posh,Dina Planche & Deb Shindle & Julie & Bill Divens,Herding,False
10,2013,Old English Sheepdog,Bugaboo’s Picture Perfect,Colton & Heather Johnson,Herding,False
11,2012,German Shepherd Dog,GCh. Babheim’s Captain Crunch,James & Sheree Moses & Deborah Stern & Janet Lange & Carlos Navarro & Maria Deschamp,Herding,False
12,2011,Bearded Collie,GCh. Tolkien Raintree Mister Baggins,Ellen Charles & Stein & L. Woodcock & R. Lamm & Ross,Herding,False
13,2010,Puli,Ch. Cordmaker Field Of Dreams,Susan Huebner & Jackie Beaudoin,Herding,False
14,2009,Puli,Ch. Cordmaker Field Of Dreams,Susan Huebner & Jackie Beaudoin,Herding,False
15,2008,Australian Shepherd,Ch. Vinelake Collinswood Yablon OA OAJ,Terri K. Collins,Herding,False
16,2007,Bouviers des Flandres,Ch. Ace’s Indelible Mark HT,J. Lockhart & M. Bender & L. Calhoun & S. McDaniel & S. Cal,Herding,False
17,2006,Old English Sheepdog,Ch. Bugaboos Big Resolution,Douglas W. & Michaelanne Johnson & B. Callahan & P. Henry,Herding,False
18,2005,Border Collie,Ch. Borderfame Spellbound,Caroline Woods & J. Frank Baylis,Herding,False
19,2004,Pembroke Welsh Corgi,Ch. Hum’nbird Keepin Up’Pearances,Samuel & Marion Lawrence,Herding,False
20,2003,German Shepherd Dog,Ch. Kismet’s Sight For Sore Eyes,"B. & D. Wood, J. & N. Bennett, A. Howells & M. Kish",Herding,False
21,2002,Pembroke Welsh Corgi,Ch. Foxlor Shafrhaus Sammy Sosa,"B. G. Dowd, S. Mottes & L. Sawyer",Herding,False
22,2001,Pembroke Welsh Corgi,Ch. Coventry Queue,Steven Leyerly & Mrs. Alan Robson,Herding,False
23,2000,Pembroke Welsh Corgi,Ch. Coventry Queue,Steven Leyerly & Mrs. Alan Robson,Herding,False
24,1999,German Shepherd,Ch. Windwalker’s Yes Virginia,Jamie Walker & J. Greer,Herding,False
25,1998,Old English Sheepdog,Ch. Lambluv’s Desert Dancer,Keiko Lascelles & Jere Marder,Herding,False
26,1997,Shetland Sheepdog,Ch. Zion’s Man About Town,Madeleine Griffin-Cone,Herding,False
27,1996,Bearded Collie,Ch. Diotima Bear Necessity,"P. McDonald, S. Lybrand & K. Kaye",Herding,False
28,1995,Bouvier Des Flandres,Ch. Aristes Hematite Dragon,Jeffrey Bennett & Nan Eisley-Bennett,Herding,False
29,1994,German Shepherd Dog,Ch. Altana’s Mystique,Jane A. Firestone,Herding,False
30,1993,German Shepherd Dog,Ch. Altana’s Mystique,Jane A. Firestone,Herding,False
31,1992,Bouvier Des Flandres,Ch. Galbraith’s Iron Eyes,Mr. & Mrs. N.J. Reese,Herding,False
32,1991,Old English Sheepdog,Ch. Lambluv Moptop Show Stopper,Jere Marder,Herding,False
33,1990,Shetland Sheepdog,Ch. Marwal Steppin’Out,Diane Bostwick,Herding,False
34,1989,Puli,Ch. Wallbanger Kermit J Bounce,J. & M. McNeill & A. Bowley,Herding,False
35,1988,Shetland Sheepdog,Ch. Rockwoods Gold Strike,Barbara M. Kenealy,Herding,False
36,1987,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,True
37,1986,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,False
38,1985,Shetland Sheepdog,Ch. Rhodan’s The Windwalker,Kathleen Schmutz,Herding,False
39,1984,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,False
40,1983,Belgian Tervuren,Ch. Corsairs Beaujangles,Steve Sorenson,Herding,False
41,1982,None,None,None,Herding,False
42,1981,None,None,None,Herding,False
43,1980,None,None,None,Herding,False
44,1979,None,None,None,Herding,False
45,1978,None,None,None,Herding,False
46,1977,None,None,None,Herding,False
47,1976,None,None,None,Herding,False
48,1975,None,None,None,Herding,False
49,1974,None,None,None,Herding,False
50,1973,None,None,None,Herding,False
51,1972,None,None,None,Herding,False
52,1971,None,None,None,Herding,False
53,1970,None,None,None,Herding,False
54,1969,None,None,None,Herding,False
55,1968,None,None,None,Herding,False
56,1967,None,None,None,Herding,False
57,1966,None,None,None,Herding,False
58,1965,None,None,None,Herding,False
59,1964,None,None,None,Herding,False
60,1963,None,None,None,Herding,False
61,1962,None,None,None,Herding,False
62,1961,None,None,None,Herding,False
63,1960,None,None,None,Herding,False
64,1959,None,None,None,Herding,False
65,1958,None,None,None,Herding,False
66,1957,None,None,None,Herding,False
67,1956,None,None,None,Herding,False
68,1955,None,None,None,Herding,False
69,1954,None,None,None,Herding,False
70,1953,None,None,None,Herding,False
71,1952,None,None,None,Herding,False
72,1951,None,None,None,Herding,False
73,1950,None,None,None,Herding,False
74,1949,None,None,None,Herding,False
75,1948,None,None,None,Herding,False
76,1947,None,None,None,Herding,False
77,1946,None,None,None,Herding,False
78,1945,None,None,None,Herding,False
79,1944,None,None,None,Herding,False
80,1943,None,None,None,Herding,False
81,1942,None,None,None,Herding,False
82,1941,None,None,None,Herding,False
83,1940,None,None,None,Herding,False
84,1939,None,None,None,Herding,False
85,1938,None,None,None,Herding,False
86,1937,None,None,None,Herding,False
87,1936,None,None,None,Herding,False
88,1935,None,None,None,Herding,False
89,1934,None,None,None,Herding,False
90,1933,None,None,None,Herding,False
91,1932,None,None,None,Herding,False
92,1931,None,None,None,Herding,False
93,1930,None,None,None,Herding,False
94,1929,None,None,None,Herding,False
95,1928,None,None,None,Herding,False
96,1927,None,None,None,Herding,False
97,1926,None,None,None,Herding,False
98,1925,None,None,None,Herding,False
99,1924,None,None,None,Herding,False
